Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.03168829826583E-05,0.00899199371227779,3.756060977951E-06,0,0,0,0.616236827519231,0.000769870367585474,7.71305388801895E-08,-8.80030457827902E-08,0.0014805062175931,-2.80799242408218E-08,0.000769660602824919,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/base_link.STL,,base_link_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.000108489145270771,0.0522909358105453,0.0015673117439082,0,0,0,0.285168669019937,0.000377262489702087,-5.06754177559203E-07,3.12820530548705E-07,0.0004000456368589,-3.14583703039477E-06,0.000327205952087175,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link1.STL,,link_1-1;motor_simple_1-1,Origin_j1,Axis_j1,j1,continuous,0,0,0.02,1.5707963267949,0,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,
Link2,0.104545318565512,-0.0496169268219811,-8.60701998621956E-06,0,0,0,0.387837840048878,0.000286609274322978,2.31119233752357E-05,5.0485261536705E-07,0.00102530817183675,1.31563538832247E-08,0.000802847127231549,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link2.STL,,link_2-1;motor_simple_1-2,Origin_j2,Axis_j2,j2,continuous,0,0.087,-0.0315000000000008,1.5707963267949,0,1.5707963267949,Link1,0,1,0,,,,,,,,,,,,
Link3,-0.00674071454993713,-0.00509649066081588,1.29789629040882E-06,0,0,0,0.327486728384832,0.000556750920503832,1.23602285718532E-05,-1.18478500484507E-09,0.000524912749653922,-5.52131522255922E-09,0.000633774241214706,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link3.STL,,link_3-1;motor_simple_1-3,Origin_j3,Axis_j3,j3,continuous,0.3,0,0,3.14159265358979,0,3.14159265358979,Link2,0,1,0,,,,,,,,,,,,
Link4,-0.0997063325735247,-0.0227510408864717,0.00386427156254429,0,0,0,0.441650398316583,0.000805480836113124,-0.00070359161155155,-0.000122501526710929,0.0024813867311263,-4.86662460482702E-05,0.00270426047996641,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link4.STL,,link_4-1;motor_simple_1-4,Origin_j4,Axis_j4,j4,continuous,-0.0366515545536588,0.0315000000000008,0,0,0,0,Link3,1,0,0,,,,,,,,,,,,
Link5,0.00459635643249912,-0.0347794070396667,-3.9020975603595E-05,0,0,0,0.242712983590793,0.000262904128144644,-2.22941360128832E-06,2.88837467980922E-07,0.00029426772271023,-6.40972825719408E-09,0.000266522119493703,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link5.STL,,link_5-1;motor_simple_1-5,Origin_j5,Axis_j5,j5,continuous,-0.2865,0,0,-3.14159265358979,0,3.14159265358979,Link4,0,1,0,,,,,,,,,,,,
Link6,-4.97184688642979E-05,0.0185974521942173,0.000126576028366862,0,0,0,0.13483591432653,5.29247921913964E-05,5.4085098854342E-09,2.08426593164738E-07,8.09779206178051E-05,3.93098614853341E-09,5.24388637962925E-05,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://robotic_arm_0816.SLDASM/meshes/Link6.STL,,link_6-1;motor_simple_1-6,Origin_j6,Axis_j6,j6,continuous,0.0265000000000003,0.00299999999999886,0,0,-1.0471975511966,-1.5707963267949,Link5,0,1,0,,,,,,,,,,,,
